Taxon
Antennaria plantaginifolia
Anthemis tinctoria
Anticlea elegans
Anulocaulis leiosolenus var. howardii
Apios priceana
Aplectrum hyemale
Apocynum androsaemifolium
Apocynum cannabinum
Apocynum sibiricum
Aquilegia canadensis
Aquilegia colchica
Aquilegia gegica
Aquilegia grahamii
Aquilegia scopulorum
Aquilegia viridiflora
Arabidopsis lyrata
Arabis hirsuta
Arabis hirsuta var. pycnocarpa
Arabis kazbegi
Arachniodes davalliiformis
Arachniodes simplicior
Aralia elata f. variegata
Aralia nudicaulis
Aralia racemosa
Aralia spinosa
Arbutus xalapensis
Arcterica nana
Arctostaphylos uva-ursi
Arctous alpinus var. japonicus
Arenaria tetraquetra
Argyrochosma dealbata
Argyrochosma limitanea subsp. limitanea
Argyrochosma microphylla
Ariocarpus fissuratus
Arisaema dracontium
Arisaema griffithii
Arisaema ovale
Arisaema ringens
Arisaema sikokianum
Arisaema triphyllum
Aristida basiramea
Aristida desmantha
Aristida dichotoma var. curtissii
Aristida dichotoma var. dichotoma
Aristida lanosa
Aristida longespica
Aristida oligantha
Aristida purpurascens
Aristolochia erecta
Aristolochia iberica
Aristolochia serpentaria
Aristolochia steupii
Aristolochia tomentosa
Aristolochia wrightii
Armeniaca mume
Arnica sachalinensis
Arnoglossum atriplicifolium
Arnoglossum plantagineum
Arnoglossum reniforme
Aronia melanocarpa
Artemisia campestris
Artemisia campestris subsp. caudata
Artemisia ludoviciana
Artemisia ludoviciana subsp. mexicana
Artemisia schmidtiana
Arum maculatum
Arum orientale
Arum palestinum
Aruncus dioicus
Aruncus dioicus var. pubescens
Arundinaria gigantea
Arundinella hirta var. ciliata
Arundinella hirta var. hirta
Asarum canadense
Asarum minamitanianum
Asarum muramatsui
Asarum sieboldii
Asclepias amplexicaulis
Asclepias arenaria
Asclepias asperula
Asclepias asperula subsp. capricornu
Asclepias brachystephana
Asclepias engelmanniana
Asclepias exaltata
Asclepias hirtella
Asclepias incarnata
Asclepias incarnata subsp. incarnata
Asclepias involucrata
Asclepias meadii
Asclepias obovata
Asclepias oenotheroides
Asclepias perennis
Asclepias purpurascens
Asclepias quadrifolia
Asclepias rubra
Asclepias speciosa
Asclepias stenophylla
Asclepias subverticillata
Asclepias sullivantii
Asclepias syriaca
Asclepias tuberosa
Asclepias tuberosa subsp. interior
Asclepias variegata
Asclepias verticillata
Asclepias viridiflora
Asclepias viridis
Asimina triloba
Asphodeline taurica
Asphodeline tenuior
Asplenium × alternifolium
Asplenium × ebenoides
Asplenium × gravesii
Asplenium × ticinense
Asplenium abscissum
Asplenium adulterinum
Asplenium bradleyi
Asplenium fissum
Asplenium montanum
Asplenium pinnatifidum
Asplenium platyneuron
Asplenium resiliens
Asplenium rhizophyllum
Asplenium ruta-muraria
Asplenium scolopendrium var. americanum
Asplenium trichomanes
Asplenium trichomanes subsp. trichomanes
Asplenium viride
Astragalus argillosus
Astragalus bibullatus
Astragalus brachytropis
Astragalus canadensis
Astragalus crassicarpus
Astragalus crassicarpus var. trichocalyx
Astragalus cyri
Astragalus daghestanicus
Astragalus distortus
Astragalus distortus var. engelmannii
Astragalus exscapus
Astragalus galegiformis
Astragalus glycyphylloides
Astragalus intarrensis
Astragalus kentrophyta var. neomexicanus
Astragalus lotiflorus
Astragalus meskheticus
Astragalus nachitschevanicus
Astragalus peterfii
Astragalus roemeri
Astragalus sphaerocephalus
Astragalus tennesseensis
Astragalus vardziae
Astranthium ciliatum
Astrantia carniolica
Astrantia colchica
Astrantia maxima
Astrantia pontica
Astrolepis integerrima
Astrolepis windhamii
Asyneuma canescens
Athamanta turbith
Athyrium alpestre
Athyrium americanum
Athyrium asplenioides
Athyrium atkinsonii
Athyrium filix-femina
Athyrium filix-femina subsp. angustum
Athyrium filix-femina var. angustum
Athyrium masamunei
Athyrium oblitescens
Athyrium reflexipinnum
Athyrium thelypterioides
Athyrium vidalii
Athyrium wardii var. inadae
Athyrium yokoscense
Aubrieta thessala
Aureolaria flava
Aureolaria grandiflora
Aureolaria grandiflora var. pulchra
Aureolaria grandiflora var. serrata
Aureolaria pectinata
Azolla caroliniana
Azolla mexicana
Bacopa rotundifolia
Baptisia × bicolor
Baptisia alba
Baptisia alba var. macrophylla
Baptisia arachnifera
Baptisia australis
Baptisia australis var. minor
Baptisia bracteata
Baptisia bracteata var. leucophaea
Baptisia sphaerocarpa
Barnardia japonica
Bartonia paniculata subsp. paniculata
Bartonia virginica
Bellevalia albana
Bellevalia sarmatica
Bellevalia speciosa
Berberis canadensis
Berberis sibirica
Berberis sieboldii
Berberis tschonoskyana
Berchemia scandens
Bergia texana
Berlandiera lyrata
Berlandiera pumila
Berlandiera texana
Berula erecta
Berula erecta var. incisa
Betonica abchasica
Betula apoiensis
Betula chichibuensis
Betula chinensis
Betula ermanii
Betula humilis
Betula karagandensis
Betula medwediewii
Betula megrelica
Betula murrayana
Betula nigra
Betula oycoviensis
Betula raddeana
Betula uber
Biarum davisii
Bidens aristosa
Bidens beckii
Bidens bipinnata
Bidens cernua
Bidens connata
Bidens discoidea
Bidens laevis
Bidens polylepis
Bidens tripartita
Bigelowia nuttallii
Bignonia capreolata
Blechnum amabile
Blechnum niponicum
Blepharidachne bigelovii
Blephilia ciliata
Blephilia hirsuta
Blephilia subnuda
Bletilla striata
Boechera laevigata
Boechera missouriensis
Boehmeria biloba
Boehmeria cylindrica
Boehmeria cylindrica var. drummondiana
Boehmeria gracilis
Boehmeria spicata var. spicata
Bolboschoenus maritimus
Bolboschoenus maritimus subsp. paludosus
Boltonia asteroides
Boltonia asteroides var. latisquama
Boltonia asteroides var. recognita
Boltonia decurrens
Boltonia diffusa
Bommeria hispida
Bonamia ovalifolia
Bongardia chrysogonum
Borodinia dentata
Bothriochloa laguroides subsp. torreyana
Botrychium biternatum
Botrychium boreale
Botrychium dissectum
Botrychium jenmanii
Botrychium lunaria
Botrychium microphyllum
Botrychium multifidum
Botrychium nipponicum var. minus
Botrychium virginianum
Botrychium virginianum var. virginianum
Botrypus virginianus
Bouteloua curtipendula
Bouteloua gracilis
Bouteloua hirsuta var. hirsuta
Bouteloua kayi
Bouteloua trifida
Bouteloua uniflora
Brachyelytrum erectum
Brachyelytrum erectum var. erectum
Bradburia pilosa
Brasenia schreberi
Brickellia eupatorioides
Brickellia eupatorioides var. corymbulosa
Brickellia eupatorioides var. texana
Brickellia eupatorioidesa
Brickellia grandiflora
Bromus latiglumis
Bromus nottowayanus
Bromus pubescens
Brongniartia minutifolia
Brunnichia ovata
Buchnera americana
Buckleya distichophylla
Buddleja alternifolia
Bulbostylis capillaris
Buphthalmum salicifolium
Bupleurum aureum var. breviinvolucratum
Bupleurum chinense
Buxus liukiuensis
Buxus microphylla
Buxus microphylla subsp. sinica
Buxus microphylla var. insularis
Buxus microphylla var. japonica
Buxus microphylla var. japonica f. minutissima
Buxus microphylla var. japonica f. tenuis
Buxus sinica var. insularis
Calamagrostis cainii
Calamagrostis canadensis
Calamagrostis perplexa
Calamagrostis porteri subsp. insperata
Calamagrostis porteri subsp. porteri
Calamagrostis stricta subsp. inexpansa
Calamintha nepeta
Calamovilfa longifolia var. longifolia
Calanthe discolor
Calla palustris
Callicarpa americana
Calligonum bakuense
Calligonum elegans
Callirhoe alcaeoides
Callirhoe bushii
Callirhoe digitata
Callirhoe involucrata
Callirhoe scabriuscula
Callirhoe triangulata
Callitriche palustris
Callitriche terrestris
Calochortus eurycarpus
Calochortus pulchellus
Calopogon oklahomensis
Calopogon tuberosus
Caltha palustris
Calycocarpum lyonii
Calylophus serrulatus
Calystegia macounii
Calystegia silvatica subsp. fraterniflora
Calystegia spithamaea subsp. spithamaea
Camassia angusta
Camassia scilloides
Camellia impressinervis
Campanula alliariifolia
Campanula americana
Campanula aparinoides var. aparinoides
Campanula bellidifolia
Campanula caucasica
Campanula cervicaria
Campanula coriacea
Campanula divaricata
Campanula dzaaku
Campanula dzyschrica
Campanula engurensis
Campanula fonderwisii
Campanula glomerata subsp. caucasica
Campanula irinae
Campanula kachethica
Campanula kolakovskyi
Campanula lactiflora
Campanula letschchumensis
Campanula makaschvilii
Campanula megrelica
Campanula ossetica
Campanula paradoxa
Campanula persicifolia
Campanula pontica
Campanula radchensis
Campanula raddeana
Campanula romanica
Campanula rotundifolia
Campanula trautvetteri
Campanula troegerae
Campanula zangezura
Campsis radicans
Campsis radicans f. flava
Cardamine bulbifera
Cardamine bulbosa
Cardamine concatenata
Cardamine diphylla
Cardamine douglassii
Cardamine leucantha var. glaberrima
Cardamine pensylvanica
Cardiandra alternifolia var. alternifolia
Cardiocrinum cathayanum
Carex × deamii
Carex × subimpressa
Carex aboriginum
Carex abscondita
Carex aggregata
Carex alata
Carex albata var. albata
Carex albicans
Carex albicans var. albicans
Carex albicans var. australis
Carex albolutescens
Carex albursina
Carex amphibola
Carex annectens
Carex annectens var. annectens
Carex annectens var. xanthocarpa
Carex aphanolepis
Carex appalachica
Carex arenicola
Carex arkansana
Carex atlantica
Carex atlantica subsp. atlantica
Carex atlantica subsp. capillacea
Carex aureolensis
Carex austrina
Carex austrodeflexa
Carex bicknellii
Carex biwensis
Carex blanda
Carex blepharicarpa var. blepharicarpa
Carex brevior
Carex bromoides
Carex bromoides subsp. bromoides
Carex brownii
Carex bushii
Carex buxbaumii
Carex canescens
Carex capillacea var. capillacea
Carex careyana
Carex caroliniana
Carex cephalophora
Carex cherokeensis
Carex communis var. communis
Carex comosa
Carex complanata
Carex confertiflora
Carex conjuncta
Carex conoidea
Carex corrugata
Carex crawei
Carex crinita
Carex crinita var. brevicrinis
Carex cristatella
Carex crus-corvi
Carex cryptolepis
Carex cumberlandensis
Carex davisii
Carex debilis
Carex debilis var. debilis
Carex decomposita
Carex dickinsii
Carex digitalis
Carex digitalis var. digitalis
Carex dimorpholepis
Carex dispalata
Carex dissitiflora
Carex duvaliana
Carex eburnea
Carex echinata
Carex festucacea
Carex fissa var. fissa
Carex flabellata
Carex flaccosperma
Carex flavocuspis
Carex foliosissima var. foliosissima
Carex forficula var. forficula
Carex formosa
Carex frankii
Carex fulta
Carex fumosimontana
Carex gibba
Carex gigantea
Carex glaucodea
Carex gracillima
Carex granularis
Carex gravida
Carex grayi
Carex grisea
Carex hakonensis
Carex haydenii
Carex heterolepis
Carex hirsutella
Carex hirtifolia
Carex hitchcockiana
Carex hondoensis
Carex hyalinolepis
Carex hystericina
Carex incisa
Carex inops subsp. heliophila
Carex interior
Carex intumescens
Carex ischnostachya var. ischnostachya
Carex jamesii
Carex japonica
Carex juniperorum
Carex kiotensis
Carex lacustris
Carex laeviconica
Carex laevivaginata
Carex lanceolata var. lanceolata
Carex lanuginosa
Carex lasiocarpa
Carex laxiculmis
Carex laxiculmis var. copulata
Carex laxiculmis var. laxiculmis
Carex laxiflora var. gracillima
Carex laxiflora var. laxiflora
Carex leavenworthii
Carex leptalea
Carex leptalea subsp. leptalea
Carex leucochlora var. horikawae
Carex limosa
Carex louisianica
Carex lupuliformis
Carex lupulina
Carex lurida
Carex maackii
Carex macroglossa
Carex maximowiczii var. maximowiczii
Carex meadii
Carex mesochorea
Carex microdonta
Carex misera
Carex missouriensis
Carex molesta
